Movie Name,Movie Genre
Sound of Metal (2019) , Drama
Sound of Metal (2019) , Music
The Outpost (2019) , Action
The Outpost (2019) , Drama
The Outpost (2019) , History
The Outpost (2019) , War
Extraction (2020) , Action
Extraction (2020) , Thriller
Onward (2020) , Animation
Onward (2020) , Adventure
Onward (2020) , Comedy
Onward (2020) , Family
Onward (2020) , Fantasy
Beastie Boys Story (2020) , Documentary
Beastie Boys Story (2020) , Biography
Beastie Boys Story (2020) , Music
Da 5 Bloods (2020) , Adventure
Da 5 Bloods (2020) , Drama
Da 5 Bloods (2020) , War
Love and Monsters (2020) , Action
Love and Monsters (2020) , Adventure
Love and Monsters (2020) , Comedy
The Devil All the Time (2020) , Crime
The Devil All the Time (2020) , Drama
The Devil All the Time (2020) , Thriller
Impetigore (2019) , Drama
Impetigore (2019) , Horror
Impetigore (2019) , Mystery
Impetigore (2019) , Thriller
7500 (2019) , Action
7500 (2019) , Drama
7500 (2019) , Thriller
Run (2020) , Horror
Run (2020) , Mystery
Run (2020) , Thriller
The Half of It (2020) , Comedy
The Half of It (2020) , Drama
The Half of It (2020) , Romance
American Murder: The Family Next Door (2020) , Documentary
American Murder: The Family Next Door (2020) , Crime
Never Rarely Sometimes Always (2020) , Drama
The Trial of the Chicago 7 (2020) , Drama
The Trial of the Chicago 7 (2020) , History
The Trial of the Chicago 7 (2020) , Thriller
The Gentlemen (2019) , Action
The Gentlemen (2019) , Comedy
The Gentlemen (2019) , Crime
The Social Dilemma (2020) , Documentary
The Social Dilemma (2020) , Drama
The Platform (2019) , Horror
The Platform (2019) , Sci-Fi
The Platform (2019) , Thriller
Alone (2020) , Thriller
The Way Back (2020) , Drama
The Way Back (2020) , Sport
The Invisible Man (2020) , Drama
The Invisible Man (2020) , Horror
The Invisible Man (2020) , Mystery
The Invisible Man (2020) , Sci-Fi
The Invisible Man (2020) , Thriller
Possessor (2020) , Horror
Possessor (2020) , Sci-Fi
Possessor (2020) , Thriller
Tenet (2020) , Action
Tenet (2020) , Sci-Fi
I'm Thinking of Ending Things (2020) , Drama
I'm Thinking of Ending Things (2020) , Thriller
Mank (2020) , Biography
Mank (2020) , Comedy
Mank (2020) , Drama
The Boys in the Band (2020) , Drama
The Prom (2020) , Comedy
The Prom (2020) , Drama
The Prom (2020) , Musical
Big Time Adolescence (2019) , Comedy
Big Time Adolescence (2019) , Drama
The Vast of Night (2019) , Drama
The Vast of Night (2019) , Mystery
The Vast of Night (2019) , Sci-Fi
The Vast of Night (2019) , Thriller
Disclosure (2020) , Documentary
Becky (2020) , Action
Becky (2020) , Crime
Becky (2020) , Drama
Becky (2020) , Thriller
On the Rocks (2020) , Comedy
On the Rocks (2020) , Drama
1BR (2019) , Drama
1BR (2019) , Horror
1BR (2019) , Thriller
The Old Guard (2020) , Action
The Old Guard (2020) , Adventure
The Old Guard (2020) , Fantasy
The Old Guard (2020) , Thriller
Enola Holmes (2020) , Action
Enola Holmes (2020) , Adventure
Enola Holmes (2020) , Crime
Enola Holmes (2020) , Drama
Enola Holmes (2020) , Mystery
Spree (2020) , Comedy
Spree (2020) , Crime
Spree (2020) , Thriller
Bad Hair (2020) , Comedy
Bad Hair (2020) , Horror
Happiest Season (2020) , Comedy
Happiest Season (2020) , Drama
Happiest Season (2020) , Romance
Host (2020) , Horror
Host (2020) , Mystery
Palm Springs (2020) , Comedy
Palm Springs (2020) , Fantasy
Palm Springs (2020) , Mystery
Palm Springs (2020) , Romance
Bad Boys for Life (2020) , Action
Bad Boys for Life (2020) , Comedy
Bad Boys for Life (2020) , Crime
Bad Boys for Life (2020) , Thriller
Blow the Man Down (2019) , Comedy
Blow the Man Down (2019) , Drama
Blow the Man Down (2019) , Mystery
Bad Education (2019) , Biography
Bad Education (2019) , Comedy
Bad Education (2019) , Crime
Bad Education (2019) , Drama
The Hunt (2020) , Action
The Hunt (2020) , Horror
The Hunt (2020) , Thriller
#Alive (2020) , Action
#Alive (2020) , Drama
#Alive (2020) , Horror
#Alive (2020) , Thriller
The King of Staten Island (2020) , Comedy
The King of Staten Island (2020) , Drama
Over the Moon (2020) , Animation
Over the Moon (2020) , Adventure
Over the Moon (2020) , Comedy
Over the Moon (2020) , Family
Over the Moon (2020) , Fantasy
Over the Moon (2020) , Musical
Over the Moon (2020) , Sci-Fi
All the Bright Places (2020) , Drama
All the Bright Places (2020) , Romance
Horse Girl (2020) , Drama
Horse Girl (2020) , Mystery
Horse Girl (2020) , Thriller
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) , Action
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) , Adventure
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) , Comedy
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) , Crime
Parasite (2019) , Comedy
Parasite (2019) , Drama
Parasite (2019) , Thriller
Uncut Gems (2019) , Crime
Uncut Gems (2019) , Drama
Uncut Gems (2019) , Thriller
Portrait of a Lady on Fire (2019) , Drama
Portrait of a Lady on Fire (2019) , Romance
Midsommar (2019) , Drama
Midsommar (2019) , Horror
Midsommar (2019) , Mystery
Midsommar (2019) , Thriller
Joker (2019) , Crime
Joker (2019) , Drama
Joker (2019) , Thriller
The Farewell (2019) , Comedy
The Farewell (2019) , Drama
First Love (2019) , Action
First Love (2019) , Comedy
First Love (2019) , Crime
First Love (2019) , Romance
Waves (2019) , Drama
Waves (2019) , Romance
Waves (2019) , Sport
Les Misérables (2019) , Crime
Les Misérables (2019) , Drama
Les Misérables (2019) , Thriller
Ford v Ferrari (2019) , Action
Ford v Ferrari (2019) , Biography
Ford v Ferrari (2019) , Drama
Ford v Ferrari (2019) , Sport
Marriage Story (2019) , Comedy
Marriage Story (2019) , Drama
Marriage Story (2019) , Romance
Hotel Mumbai (2018) , Action
Hotel Mumbai (2018) , Drama
Hotel Mumbai (2018) , History
Hotel Mumbai (2018) , Thriller
System Crasher (2019) , Drama
El Camino: A Breaking Bad Movie (2019) , Action
El Camino: A Breaking Bad Movie (2019) , Crime
El Camino: A Breaking Bad Movie (2019) , Drama
The Peanut Butter Falcon (2019) , Adventure
The Peanut Butter Falcon (2019) , Comedy
The Peanut Butter Falcon (2019) , Drama
I Lost My Body (2019) , Animation
I Lost My Body (2019) , Drama
I Lost My Body (2019) , Fantasy
I Lost My Body (2019) , Romance
The Irishman (2019) , Biography
The Irishman (2019) , Crime
The Irishman (2019) , Drama
1917 (2019) , Drama
1917 (2019) , War
Ad Astra (2019) , Adventure
Ad Astra (2019) , Drama
Ad Astra (2019) , Mystery
Ad Astra (2019) , Sci-Fi
Ad Astra (2019) , Thriller
Doctor Sleep (2019) , Drama
Doctor Sleep (2019) , Fantasy
Doctor Sleep (2019) , Horror
Doctor Sleep (2019) , Thriller
Just Mercy (2019) , Biography
Just Mercy (2019) , Crime
Just Mercy (2019) , Drama
The Nightingale (2018) , Adventure
The Nightingale (2018) , Drama
The Nightingale (2018) , Thriller
The Art of Self-Defense (2019) , Action
The Art of Self-Defense (2019) , Comedy
The Art of Self-Defense (2019) , Crime
The Art of Self-Defense (2019) , Drama
The Art of Self-Defense (2019) , Mystery
The Art of Self-Defense (2019) , Thriller
Shazam! (2019) , Action
Shazam! (2019) , Adventure
Shazam! (2019) , Comedy
Shazam! (2019) , Fantasy
Honey Boy (2019) , Drama
Dolemite Is My Name (2019) , Biography
Dolemite Is My Name (2019) , Comedy
Dolemite Is My Name (2019) , Drama
"Love, Antosha (2019) ", Documentary
"Love, Antosha (2019) ", Biography
"Love, Antosha (2019) ", Music
Queen & Slim (2019) , Crime
Queen & Slim (2019) , Drama
Queen & Slim (2019) , Romance
Arctic (2018) , Adventure
Arctic (2018) , Drama
Furie (2019) , Action
Furie (2019) , Drama
Furie (2019) , Thriller
The Lighthouse (2019) , Drama
The Lighthouse (2019) , Fantasy
The Lighthouse (2019) , Horror
The Lighthouse (2019) , Mystery
Triple Frontier (2019) , Action
Triple Frontier (2019) , Adventure
Triple Frontier (2019) , Crime
Triple Frontier (2019) , Thriller
Richard Jewell (2019) , Biography
Richard Jewell (2019) , Crime
Richard Jewell (2019) , Drama
Little Monsters (2019) , Comedy
Little Monsters (2019) , Horror
Little Monsters (2019) , Sci-Fi
Luce (2019) , Drama
Luce (2019) , Mystery
The King (2019) , Biography
The King (2019) , Drama
The King (2019) , History
The King (2019) , Romance
The King (2019) , War
Come to Daddy (2019) , Comedy
Come to Daddy (2019) , Horror
Come to Daddy (2019) , Mystery
Come to Daddy (2019) , Thriller
Monos (2019) , Adventure
Monos (2019) , Drama
Monos (2019) , Thriller
Us (2019) , Horror
Us (2019) , Mystery
Us (2019) , Thriller
Knives Out (2019) , Comedy
Knives Out (2019) , Crime
Knives Out (2019) , Drama
Knives Out (2019) , Mystery
Knives Out (2019) , Thriller
Villains (2019) , Comedy
Villains (2019) , Drama
Villains (2019) , Horror
Villains (2019) , Thriller
Spider-Man: Far from Home (2019) , Action
Spider-Man: Far from Home (2019) , Adventure
Spider-Man: Far from Home (2019) , Sci-Fi
Avengers: Endgame (2019) , Action
Avengers: Endgame (2019) , Adventure
Avengers: Endgame (2019) , Drama
Avengers: Endgame (2019) , Sci-Fi
High Flying Bird (2019) , Drama
High Flying Bird (2019) , Sport
I Am Mother (2019) , Drama
I Am Mother (2019) , Mystery
I Am Mother (2019) , Sci-Fi
I Am Mother (2019) , Thriller
Fighting with My Family (2019) , Biography
Fighting with My Family (2019) , Comedy
Fighting with My Family (2019) , Drama
Fighting with My Family (2019) , Sport
Booksmart (2019) , Comedy
John Wick: Chapter 3 - Parabellum (2019) , Action
John Wick: Chapter 3 - Parabellum (2019) , Crime
John Wick: Chapter 3 - Parabellum (2019) , Thriller
Godzilla: King of the Monsters (2019) , Action
Godzilla: King of the Monsters (2019) , Adventure
Godzilla: King of the Monsters (2019) , Fantasy
Godzilla: King of the Monsters (2019) , Sci-Fi
Always Be My Maybe (2019) , Comedy
Always Be My Maybe (2019) , Romance
Avengers: Infinity War (2018) , Action
Avengers: Infinity War (2018) , Adventure
Avengers: Infinity War (2018) , Sci-Fi
The Favourite (2018) , Biography
The Favourite (2018) , Comedy
The Favourite (2018) , Drama
The Favourite (2018) , History
Eighth Grade (2018) , Comedy
Eighth Grade (2018) , Drama
A Star Is Born (2018) , Drama
A Star Is Born (2018) , Music
A Star Is Born (2018) , Romance
Hereditary (2018) , Drama
Hereditary (2018) , Horror
Hereditary (2018) , Mystery
Hereditary (2018) , Thriller
A Quiet Place (2018) , Drama
A Quiet Place (2018) , Horror
A Quiet Place (2018) , Sci-Fi
BlacKkKlansman (2018) , Biography
BlacKkKlansman (2018) , Comedy
BlacKkKlansman (2018) , Crime
BlacKkKlansman (2018) , Drama
Mission: Impossible - Fallout (2018) , Action
Mission: Impossible - Fallout (2018) , Adventure
Mission: Impossible - Fallout (2018) , Thriller
Spider-Man: Into the Spider-Verse (2018) , Animation
Spider-Man: Into the Spider-Verse (2018) , Action
Spider-Man: Into the Spider-Verse (2018) , Adventure
Spider-Man: Into the Spider-Verse (2018) , Family
Spider-Man: Into the Spider-Verse (2018) , Sci-Fi
Aquaman (2018) , Action
Aquaman (2018) , Adventure
Aquaman (2018) , Fantasy
Aquaman (2018) , Sci-Fi
Bad Times at the El Royale (2018) , Crime
Bad Times at the El Royale (2018) , Drama
Bad Times at the El Royale (2018) , Mystery
Bad Times at the El Royale (2018) , Thriller
If Beale Street Could Talk (2018) , Drama
If Beale Street Could Talk (2018) , Romance
Deadpool 2 (2018) , Action
Deadpool 2 (2018) , Adventure
Deadpool 2 (2018) , Comedy
Deadpool 2 (2018) , Sci-Fi
Beautiful Boy (2018) , Biography
Beautiful Boy (2018) , Drama
Vice (2018) , Biography
Vice (2018) , Comedy
Vice (2018) , Drama
First Reformed (2017) , Drama
First Reformed (2017) , Mystery
First Reformed (2017) , Thriller
Blindspotting (2018) , Comedy
Blindspotting (2018) , Crime
Blindspotting (2018) , Drama
Annihilation (2018) , Adventure
Annihilation (2018) , Drama
Annihilation (2018) , Horror
Annihilation (2018) , Mystery
Annihilation (2018) , Sci-Fi
Annihilation (2018) , Thriller
Upgrade (2018) , Action
Upgrade (2018) , Sci-Fi
Upgrade (2018) , Thriller
Incredibles 2 (2018) , Animation
Incredibles 2 (2018) , Action
Incredibles 2 (2018) , Adventure
Incredibles 2 (2018) , Comedy
Incredibles 2 (2018) , Family
Incredibles 2 (2018) , Sci-Fi
Black Panther (2018) , Action
Black Panther (2018) , Adventure
Black Panther (2018) , Sci-Fi
The Old Man & the Gun (2018) , Biography
The Old Man & the Gun (2018) , Comedy
The Old Man & the Gun (2018) , Crime
The Old Man & the Gun (2018) , Drama
The Old Man & the Gun (2018) , Romance
"Don't Worry, He Won't Get Far on Foot (2018) ", Biography
"Don't Worry, He Won't Get Far on Foot (2018) ", Comedy
"Don't Worry, He Won't Get Far on Foot (2018) ", Drama
