Movie Name,Movie Stars
Sound of Metal (2019) ,Riz Ahmed
Sound of Metal (2019) ,Olivia Cooke
Sound of Metal (2019) ,Paul Raci
The Outpost (2019) ,Scott Eastwood
The Outpost (2019) ,Caleb Landry Jones
The Outpost (2019) ,Orlando Bloom
Extraction (2020) ,Chris Hemsworth
Extraction (2020) ,Bryon Lerum
Extraction (2020) ,Ryder Lerum
Onward (2020) ,Tom Holland
Onward (2020) ,Chris Pratt
Onward (2020) ,Julia Louis-Dreyfus
Beastie Boys Story (2020) ,Beastie Boys
Beastie Boys Story (2020) ,Mike D
Beastie Boys Story (2020) ,Adam Horovitz
Da 5 Bloods (2020) ,Delroy Lindo
Da 5 Bloods (2020) ,Jonathan Majors
Da 5 Bloods (2020) ,Clarke Peters
Love and Monsters (2020) ,Dylan O'Brien
Love and Monsters (2020) ,Jessica Henwick
Love and Monsters (2020) ,Michael Rooker
The Devil All the Time (2020) ,Donald Ray Pollock
The Devil All the Time (2020) ,Bill Skarsgård
The Devil All the Time (2020) ,Tom Holland
Impetigore (2019) ,Tara Basro
Impetigore (2019) ,Ario Bayu
Impetigore (2019) ,Marissa Anita
7500 (2019) ,Joseph Gordon-Levitt
7500 (2019) ,Omid Memar
7500 (2019) ,Aylin Tezel
Run (2020) ,Sarah Paulson
Run (2020) ,Kiera Allen
Run (2020) ,Sara Sohn
The Half of It (2020) ,Leah Lewis
The Half of It (2020) ,Daniel Diemer
The Half of It (2020) ,Alexxis Lemire
American Murder: The Family Next Door (2020) ,Nickole Atkinson
American Murder: The Family Next Door (2020) ,Jim Benemann
American Murder: The Family Next Door (2020) ,Luke Epple
Never Rarely Sometimes Always (2020) ,Sidney Flanigan
Never Rarely Sometimes Always (2020) ,Talia Ryder
Never Rarely Sometimes Always (2020) ,Théodore Pellerin
The Trial of the Chicago 7 (2020) ,Eddie Redmayne
The Trial of the Chicago 7 (2020) ,Alex Sharp
The Trial of the Chicago 7 (2020) ,Sacha Baron Cohen
The Gentlemen (2019) ,Matthew McConaughey
The Gentlemen (2019) ,Charlie Hunnam
The Gentlemen (2019) ,Michelle Dockery
The Social Dilemma (2020) ,Tristan Harris
The Social Dilemma (2020) ,Jeff Seibert
The Social Dilemma (2020) ,Bailey Richardson
The Platform (2019) ,Ivan Massagué
The Platform (2019) ,Zorion Eguileor
The Platform (2019) ,Antonia San Juan
Alone (2020) ,Jules Willcox
Alone (2020) ,Marc Menchaca
Alone (2020) ,Anthony Heald
The Way Back (2020) ,Ben Affleck
The Way Back (2020) ,Al Madrigal
The Way Back (2020) ,Janina Gavankar
The Invisible Man (2020) ,Elisabeth Moss
The Invisible Man (2020) ,Oliver Jackson-Cohen
The Invisible Man (2020) ,Harriet Dyer
Possessor (2020) ,Andrea Riseborough
Possessor (2020) ,Christopher Abbott
Possessor (2020) ,Jennifer Jason Leigh
Tenet (2020) ,John David Washington
Tenet (2020) ,Robert Pattinson
Tenet (2020) ,Elizabeth Debicki
I'm Thinking of Ending Things (2020) ,Jesse Plemons
I'm Thinking of Ending Things (2020) ,Jessie Buckley
I'm Thinking of Ending Things (2020) ,Toni Collette
Mank (2020) ,Gary Oldman
Mank (2020) ,Amanda Seyfried
Mank (2020) ,Lily Collins
The Boys in the Band (2020) ,Jim Parsons
The Boys in the Band (2020) ,Zachary Quinto
The Boys in the Band (2020) ,Matt Bomer
The Prom (2020) ,Meryl Streep
The Prom (2020) ,James Corden
The Prom (2020) ,Nicole Kidman
Big Time Adolescence (2019) ,Griffin Gluck
Big Time Adolescence (2019) ,Emily Arlook
Big Time Adolescence (2019) ,Michael Devine
The Vast of Night (2019) ,Sierra McCormick
The Vast of Night (2019) ,Jake Horowitz
The Vast of Night (2019) ,Gail Cronauer
Disclosure (2020) ,Laverne Cox
Disclosure (2020) ,Bianca Leigh
Disclosure (2020) ,Jen Richards
Becky (2020) ,Lulu Wilson
Becky (2020) ,Kevin James
Becky (2020) ,Joel McHale
On the Rocks (2020) ,Bill Murray
On the Rocks (2020) ,Rashida Jones
On the Rocks (2020) ,Marlon Wayans
1BR (2019) ,Nicole Brydon Bloom
1BR (2019) ,Giles Matthey
1BR (2019) ,Taylor Nichols
The Old Guard (2020) ,Charlize Theron
The Old Guard (2020) ,KiKi Layne
The Old Guard (2020) ,Matthias Schoenaerts
Enola Holmes (2020) ,Millie Bobby Brown
Enola Holmes (2020) ,Henry Cavill
Enola Holmes (2020) ,Sam Claflin
Spree (2020) ,Joe Keery
Spree (2020) ,Sasheer Zamata
Spree (2020) ,David Arquette
Bad Hair (2020) ,Zaria Kelley
Bad Hair (2020) ,Corinne Massiah
Bad Hair (2020) ,Elle Lorraine
Happiest Season (2020) ,Kristen Stewart
Happiest Season (2020) ,Mackenzie Davis
Happiest Season (2020) ,Mary Steenburgen
Host (2020) ,Haley Bishop
Host (2020) ,Jemma Moore
Host (2020) ,Emma Louise Webb
Palm Springs (2020) ,Andy Samberg
Palm Springs (2020) ,Cristin Milioti
Palm Springs (2020) ,J.K. Simmons
Bad Boys for Life (2020) ,Will Smith
Bad Boys for Life (2020) ,Martin Lawrence
Bad Boys for Life (2020) ,Vanessa Hudgens
Blow the Man Down (2019) ,David Coffin
Blow the Man Down (2019) ,David Pridemore
Blow the Man Down (2019) ,Adam Wolf Mayerson
Bad Education (2019) ,Hugh Jackman
Bad Education (2019) ,Ray Romano
Bad Education (2019) ,Welker White
The Hunt (2020) ,Betty Gilpin
The Hunt (2020) ,Hilary Swank
The Hunt (2020) ,Ike Barinholtz
#Alive (2020) ,Ah-In Yoo
#Alive (2020) ,Park Shin-Hye
#Alive (2020) ,Jeon Bae-soo
The King of Staten Island (2020) ,Pete Davidson
The King of Staten Island (2020) ,Bel Powley
The King of Staten Island (2020) ,Ricky Velez
Over the Moon (2020) ,Glen Keane
Over the Moon (2020) ,Brycen Hall
Over the Moon (2020) ,Ruthie Ann Miles
All the Bright Places (2020) ,Elle Fanning
All the Bright Places (2020) ,Justice Smith
All the Bright Places (2020) ,Alexandra Shipp
Horse Girl (2020) ,Alison Brie
Horse Girl (2020) ,Molly Shannon
Horse Girl (2020) ,Goldenite
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,Margot Robbie
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,Rosie Perez
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,Mary Elizabeth Winstead
Parasite (2019) ,Song Kang-Ho
Parasite (2019) ,Sun-kyun Lee
Parasite (2019) ,Yeo-jeong Jo
Uncut Gems (2019) ,Adam Sandler
Uncut Gems (2019) ,Julia Fox
Uncut Gems (2019) ,Idina Menzel
Portrait of a Lady on Fire (2019) ,Noémie Merlant
Portrait of a Lady on Fire (2019) ,Adèle Haenel
Portrait of a Lady on Fire (2019) ,Luàna Bajrami
Midsommar (2019) ,Florence Pugh
Midsommar (2019) ,Jack Reynor
Midsommar (2019) ,Vilhelm Blomgren
Joker (2019) ,Joaquin Phoenix
Joker (2019) ,Robert De Niro
Joker (2019) ,Zazie Beetz
