Movie Name,Rank,Year,Rating,Tagline,Movie Budget,Gross Budget
Sound of Metal (2019) ,1,2020,7.8,Music was his world. Then silence revealed a new one.,N/A,3237
The Outpost (2019) ,2,2020,6.8,The mission was survival.,18000000,2075693
Extraction (2020) ,3,2020,6.7,N/A,N/A,N/A
Onward (2020) ,4,2020,7.4,Cometh Soon.,N/A,141719061
Beastie Boys Story (2020) ,5,2020,7.8,N/A,N/A,N/A
Da 5 Bloods (2020) ,6,2020,6.5,N/A,N/A,N/A
Love and Monsters (2020) ,7,2020,7,N/A,N/A,1070714
The Devil All the Time (2020) ,8,2020,7.1,Some people are just born to be buried.                ,N/A,N/A
Impetigore (2019) ,9,2020,6.7,N/A,N/A,N/A
7500 (2019) ,10,2020,6.3,N/A,N/A,N/A
Run (2020) ,11,2020,6.7,You Can't Escape a Mother's Love,N/A,2178316
The Half of It (2020) ,12,2020,6.9,a different kind of love story,N/A,N/A
American Murder: The Family Next Door (2020) ,13,2020,7.2,N/A,N/A,N/A
Never Rarely Sometimes Always (2020) ,14,2020,7.3,N/A,N/A,298351
The Trial of the Chicago 7 (2020) ,15,2020,7.8,"In 1968, democracy refused to back down.",N/A,24357
The Gentlemen (2019) ,16,2020,7.8,Criminal. Class.,22000000,115171795
The Social Dilemma (2020) ,17,2020,7.7,The technology that connects us also controls us.,N/A,N/A
The Platform (2019) ,18,2020,7,N/A,N/A,1090116
Alone (2020) ,19,2020,6.2,What Are You Running From?,N/A,671202
The Way Back (2020) ,20,2020,6.7,Every loss is another fight.,N/A,14690514
The Invisible Man (2020) ,21,2020,7.1,What You Can't See Can Hurt You,7000000,142803000
Possessor (2020) ,22,2020,6.4,No Body is Safe,N/A,872555
Tenet (2020) ,23,2020,7.6,Time Runs Out,205000000,361300000
I'm Thinking of Ending Things (2020) ,24,2020,6.7,N/A,N/A,N/A
Mank (2020) ,25,2020,7.3,N/A,N/A,83469
The Boys in the Band (2020) ,26,2020,6.8,N/A,N/A,N/A
The Prom (2020) ,27,2020,6.3,Everyone deserves a chance to celebrate.                ,N/A,143669
Big Time Adolescence (2019) ,28,2020,7,Under His Influence,N/A,N/A
The Vast of Night (2019) ,29,2020,6.7,N/A,N/A,N/A
Disclosure (2020) ,30,2020,8.3,N/A,N/A,N/A
Becky (2020) ,31,2020,5.8,There once was a little girl...,N/A,1045873
On the Rocks (2020) ,32,2020,6.5,N/A,N/A,992103
1BR (2019) ,33,2020,5.8,Welcome to the neighborhood,N/A,11200
The Old Guard (2020) ,34,2020,6.6,Whatever it takes.                ,N/A,N/A
Enola Holmes (2020) ,35,2020,6.6,Mystery runs in the family                ,N/A,N/A
Spree (2020) ,36,2020,5.8,N/A,N/A,43840
Bad Hair (2020) ,37,2020,5.5,N/A,N/A,N/A
Happiest Season (2020) ,38,2020,6.7,"This holiday, everyone's secrets are coming out.                ",N/A,1028979
Host (2020) ,39,2020,6.6,Someone new has joined the meeting,N/A,43808
Palm Springs (2020) ,40,2020,7.4,Live Like There's No Tomorrow,N/A,765535
Bad Boys for Life (2020) ,41,2020,6.6,Ride Together. Die Together.,90000000,426505244
Blow the Man Down (2019) ,42,2020,6.4,N/A,N/A,N/A
Bad Education (2019) ,43,2020,7.1,Some People Learn the Hard Way,N/A,N/A
The Hunt (2020) ,44,2020,6.5,The Most Talked About Movie of the Year is One That No One's Actually Seen,14000000,11148678
#Alive (2020) ,45,2020,6.2,You Must Survive,N/A,13416285
The King of Staten Island (2020) ,46,2020,7.1,N/A,N/A,2202165
Over the Moon (2020) ,47,2020,6.5,N/A,N/A,N/A
All the Bright Places (2020) ,48,2020,6.5,Live Life at Full Brightness,N/A,N/A
