Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Sound of Metal (2019),1,2020,7.8,"4 December 2020 (USA)
",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,68
The Outpost (2019),2,2020,6.8,"3 July 2020 (USA)
",A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.,242
Extraction (2020),3,2020,6.7,"24 April 2020 (USA)
","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2971
Onward (2020),4,2020,7.4,"6 March 2020 (USA)
",Two elven brothers embark on a quest to bring their father back for one day.,673
Beastie Boys Story (2020),5,2020,7.8,"24 April 2020 (USA)
","Mike Diamond and Adam Horovitz of Beastie Boys tell you an intimate, personal story of their band, and their 40 years of friendship together.",40
Da 5 Bloods (2020),6,2020,6.5,"12 June 2020 (USA)
",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,732
Love and Monsters (2020),7,2020,7,"16 October 2020 (USA)
","In a monster-infested world, Joel learns his girlfriend is just 85 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.",333
The Devil All the Time (2020),8,2020,7.1,"16 September 2020 (USA)
",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,872
Impetigore (2019),9,2020,6.7,"23 July 2020 (USA)
","Maya with her best friend, Dini, tries to survive in a city without a family. She realized that she might inherit a property from her rich family. Maya returns to the village with Dini and unaware of the danger was waiting for her.",56
7500 (2019),10,2020,6.3,"18 June 2020 (USA)
","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",431
Run (2020),11,2020,6.7,"20 November 2020 (USA)
",A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,235
The Half of It (2020),12,2020,6.9,"1 May 2020 (USA)
","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",287
American Murder: The Family Next Door (2020),13,2020,7.2,"30 September 2020 (USA)
","In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.",160
Never Rarely Sometimes Always (2020),14,2020,7.3,"3 April 2020 (USA)
",A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,86
The Trial of the Chicago 7 (2020),15,2020,7.8,"16 October 2020 (USA)
","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",405
The Gentlemen (2019),16,2020,7.8,"24 January 2020 (USA)
","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",1330
The Social Dilemma (2020),17,2020,7.7,"9 September 2020 (USA)
","Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",494
The Platform (2019),18,2020,7,"20 March 2020 (USA)
",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,994
Alone (2020),19,2020,6.2,"18 September 2020 (USA)
","A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",130
The Way Back (2020),20,2020,6.7,"6 March 2020 (USA)
","Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",290
The Invisible Man (2020),21,2020,7.1,"28 February 2020 (USA)
","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",1713
Possessor (2020),22,2020,6.4,"2 October 2020 (USA)
",Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,166
Tenet (2020),23,2020,7.6,"3 September 2020 (USA)
","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",3219
I'm Thinking of Ending Things (2020),24,2020,6.7,"4 September 2020 (USA)
","Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",942
Mank (2020),25,2020,7.3,"4 December 2020 (USA)
",1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,263
The Boys in the Band (2020),26,2020,6.8,"30 September 2020 (USA)
","At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",117
The Prom (2020),27,2020,6.3,"11 December 2020 (USA)
",A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,198
Big Time Adolescence (2019),28,2020,7,"13 March 2020 (USA)
","A suburban teenager comes of age under the destructive guidance of his best friend, an aimless college dropout.",66
The Vast of Night (2019),29,2020,6.7,"29 May 2020 (USA)
","One night in New Mexico, in the late 1950s, a switchboard operator and radio DJ discover a strange audio frequency which could change the future forever.",560
Disclosure (2020),30,2020,8.3,"19 June 2020 (USA)
",An in-depth look at Hollywood's depiction of transgender people and the impact of those stories on transgender lives and American culture.,25
Becky (2020),31,2020,5.8,"5 June 2020 (USA)
",A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,286
On the Rocks (2020),32,2020,6.5,"23 October 2020 (USA)
",A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,218
1BR (2019),33,2020,5.8,"24 April 2020 (USA)
","Sarah tries to start anew in LA, but her neighbours are not what they seem.",178
The Old Guard (2020),34,2020,6.6,"10 July 2020 (USA)
",A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,1629
Enola Holmes (2020),35,2020,6.6,"23 September 2020 (USA)
","When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",1396
Spree (2020),36,2020,5.8,"14 August 2020 (USA)
","Thirsty for a following, Kurt Kunkle is a rideshare driver who has figured out a deadly plan to go viral.",60
Bad Hair (2020),37,2020,5.5,"23 October 2020 (USA)
","In 1989 an ambitious young woman gets a weave in order to succeed in the image-obsessed world of music television. However, her flourishing career may come at a great cost when she realizes that her new hair may have a mind of its own.",47
Happiest Season (2020),38,2020,6.7,"25 November 2020 (USA)
","A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",224
Host (2020),39,2020,6.6,"30 July 2020 (UK)
","Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.",246
Palm Springs (2020),40,2020,7.4,"10 July 2020 (USA)
","When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.",361
Bad Boys for Life (2020),41,2020,6.6,"17 January 2020 (USA)
",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,1137
Blow the Man Down (2019),42,2020,6.4,"20 March 2020 (USA)
","Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",96
